No.	Site	NOAA STA ID	Lat	Lon	% missing	strat Year	End year		
1	Midway	1619910	28.217	-177.367	5.90	1947	2017		
23	"Adak Island, AK"	9461380	51.8633	-176.632	7.87	1950	2017		
3	Johnston		16.738	-169.53	9.70	1947	2017		
2	Wake	1890000	19.283	-166.617	6.84	1950	2017		
5	"Honolulu, Hawaii"	1612340	21.307	-157.867	1.40	1905	2017		
6	"Kahului, HI"	1615680	20.9	-156.467	6.07	1950	2017		
7	"Hilo, Hawaii"	1617760	19.733	-155.067	16.60	1927	2017		
4	Guam	1630000	13.433	-144.65	6.63	1948	2017		
16	"Sitka, AK"	9451600	57.052	-135.342	0.07	1938	2017		
18	"Ketchikan, AK"	9450460	55.333	-131.625	23.00	1918	2017		
15	"Neah Bay, WA"	9443090	48.368	-124.617	2.66	1934	2017		
14	"Crescent City, CA"	9419750	41.745	-124.183	8.40	1933	2017		
22	"Astoria,OR"	9439040	46.2083	-123.7667	1.40	1925	2017		
42	"Friday Harbour, WA"	9449880	48.547	-123.01	3.60	1935	2017		
12	"San Francisco, CA"	9414290	37.807	-122.465	0.40	1897	2017		
43	"Port San Luis, CA"	9412110	35.1767	-120.76	5.00	1948	2017		
29	"Los Angeles,CA"	9410660	33.72	-118.2717	2.00	1923	2017		
13	"La Jolla, CA"	9410230	32.867	-117.257	6.00	1925	2017		
17	San Diego	9410170	32.713	-117.173	2.00	1906	2017		
41	"Port Isbel, TX"	8779770	26.06	-97.215	5.50	1945	2017		
31	"Rockport,TX"	8774770	28.0217	-97.0467	23.80	1937	2017		
21	"Galveston, Pier 21"	8771450	29.31	-94.793	3.40	1904	2017		
20	"Pensacola, FL"	8729840	30.403	-87.213	2.90	1923	2017		
40	"Cedar Key, FL"	8727520	29.135	-83.032	3.60	1939	2017		
39	"St Petersburg, FL"	8726520	27.76	-82.627	2.90	1947	2017		
8	"Key West, FL"	8724580	24.553	-81.808	2.20	1913	2017		
28	"Fernandina beach,FL"	8720030	30.6717	-81.4667	52.00	1900	2017		
30	"Mayport,FL"	8720218	30.395	-81.4317	1.10	1928	2017		
19	"Fort Pulaski, GA"	8670870	32.033	-80.902	4.30	1935	2017		
10	"Charleston, SC"	8665530	32.782	-79.925	1.50	1921	2017		
38	"Wilmingtom, NC"	8658120	34.227	-77.953	1.60	1936	2017		
36	"Washington, DC"	8594900	38.873	-77.022	2.00	1932	2017		
24	"Baltimore, MD"	8574680	39.2667	-76.5783	1.30	1902	2017		
25	"Annnapolis, MD"	8575512	38.9833	-76.4816	4.00	1930	2017		
37	"Sewells Point, VA"	8638610	36.947	-76.33	1.90	1928	2017		
11	Atlantic City	8534720	39.355	-74.418	5.20	1911	2017		
34	"The battery, NY"	8518750	40.7	-74.015	2.70	1927	2017		
35	"Sandy Hook, NJ"	8531680	40.467	-74.01	2.50	1933	2017		
33	"New London, CT"	8461490	41.355	-72.087	4.00	1939	2017		
45	"Montauk,NY"	8510560	41.048	-71.96	7.50	1948	2017		
9	"Newport, RI"	8452660	41.505	-71.327	3.90	1930	2017		
26	"Boston, MA"	8443970	42.355	-71.0517	1.20	1921	2017		
32	"Portland,ME"	8418150	43.657	-70.247	2.40	1912	2017		
44	"Bar Harbor, ME"	8413320	44.392	-68.203	7.53	1948	2017		
27	"Eastport,ME"	8410140	44.9033	-66.985	6.60	1929	2017		
